Date,GDAXI_OPEN,GDAXI_HIGH,GDAXI_LOW,GDAXI_CLOSE,GDAXI_ADJ_CLOSE,GDAXI_VOLUME,GDAXI_DAILY_RETURNS
2019-11-04,13022.9501953125,13171.169921875,13019.1796875,13136.2802734375,13136.2802734375,84782400,1.3519774353974556
2019-11-05,13134.330078125,13166.080078125,13112.650390625,13148.5,13148.5,83190400,0.09302273024129892
2019-11-06,13150.9404296875,13187.66015625,13110.91015625,13179.8896484375,13179.8896484375,80045600,0.23873178261779593
2019-11-07,13258.259765625,13300.759765625,13227.3701171875,13289.4599609375,13289.4599609375,117100600,0.8313446881779374
2019-11-08,13248.6201171875,13278.1796875,13195.830078125,13228.5595703125,13228.5595703125,95599200,-0.45826083831854714
2019-11-11,13170.1796875,13225.6201171875,13144.08984375,13198.3701171875,13198.3701171875,72597200,-0.22821421307842593
2019-11-12,13243.5302734375,13308.259765625,13214.66015625,13283.509765625,13283.509765625,82741400,0.6450769881549689
2019-11-13,13244.0498046875,13273.8203125,13139.25,13230.0703125,13230.0703125,77193800,-0.4022991970336842
2019-11-14,13198.330078125,13219.2998046875,13159.6904296875,13180.23046875,13180.23046875,81582700,-0.3767163935849305
2019-11-15,13261.7197265625,13261.7197265625,13172.8896484375,13241.75,13241.75,81039800,0.4667561117073227
2019-11-18,13255.7802734375,13282.41015625,13137.8798828125,13207.009765625,13207.009765625,69775200,-0.26235380047954227
2019-11-19,13235.2802734375,13374.26953125,13187.91015625,13221.1201171875,13221.1201171875,68664200,0.10683986619912655
2019-11-20,13127.4501953125,13182.2197265625,13071.330078125,13158.1396484375,13158.1396484375,68735300,-0.4763625789022563
2019-11-21,13083.0,13171.849609375,13043.900390625,13137.7001953125,13137.7001953125,74515800,-0.15533695241961576
2019-11-22,13145.76953125,13244.5703125,13120.6298828125,13163.8798828125,13163.8798828125,74716200,0.1992714638848314
2019-11-25,13247.509765625,13268.9697265625,13210.25,13246.4501953125,13246.4501953125,54920200,0.6272490575351508
2019-11-26,13256.400390625,13261.98046875,13193.75,13236.419921875,13236.419921875,89580100,-0.07572046313999437
2019-11-27,13291.08984375,13314.919921875,13219.4296875,13287.0703125,13287.0703125,67304300,0.3826592909861759
2019-11-28,13247.6103515625,13259.2900390625,13215.7099609375,13245.580078125,13245.580078125,36771000,-0.3122602153762033
2019-11-29,13179.25,13290.330078125,13165.0703125,13236.3798828125,13236.3798828125,71753700,-0.06945860625382494
2019-12-02,13264.9296875,13338.25,12954.5,12964.6796875,12964.6796875,105692200,-2.05267752752627
2019-12-03,13039.6103515625,13086.0302734375,12927.0703125,12989.2900390625,12989.2900390625,87003100,0.18982614422959898
2019-12-04,12998.66015625,13157.3603515625,12995.3203125,13140.5703125,13140.5703125,68441900,1.164653903196844
2019-12-05,13144.3798828125,13188.6396484375,13054.7998046875,13054.7998046875,13054.7998046875,54216400,-0.6527152610028675
2019-12-06,13087.509765625,13171.2099609375,13055.98046875,13166.580078125,13166.580078125,60141700,0.8562388938156307
2019-12-09,13147.5703125,13170.76953125,13100.240234375,13105.6103515625,13105.6103515625,50345100,-0.46306425966903264
2019-12-10,13065.830078125,13091.7099609375,12886.5498046875,13070.7197265625,13070.7197265625,80064000,-0.26622663167946703
2019-12-11,13075.4296875,13169.76953125,13042.7001953125,13146.740234375,13146.740234375,69220500,0.5816091952305369
2019-12-12,13167.5595703125,13287.8095703125,13105.0703125,13221.6396484375,13221.6396484375,83998800,0.5697185213004996
2019-12-13,13383.259765625,13423.41015625,13255.5498046875,13282.7197265625,13282.7197265625,106137100,0.46197052520802195
2019-12-16,13349.8603515625,13425.849609375,13338.3798828125,13407.66015625,13407.66015625,71200800,0.9406238500812902
2019-12-17,13391.26953125,13394.4697265625,13269.4296875,13287.830078125,13287.830078125,79260500,-0.8937434028646773
2019-12-18,13266.349609375,13286.0,13215.8798828125,13222.16015625,13222.16015625,71001000,-0.494211029858882
2019-12-19,13226.7001953125,13248.98046875,13140.2197265625,13211.9599609375,13211.9599609375,84018200,-0.0771446964184519
2019-12-20,13210.259765625,13324.1103515625,13201.7998046875,13318.900390625,13318.900390625,170723200,0.8094213879218604
2019-12-23,13304.76953125,13331.8603515625,13285.5498046875,13300.98046875,13300.98046875,56215400,-0.1345450551429428
2019-12-27,13338.3203125,13381.4404296875,13311.51953125,13337.1103515625,13337.1103515625,43758600,0.27163322957570735
2019-12-30,13301.4296875,13316.6201171875,13244.169921875,13249.009765625,13249.009765625,31427400,-0.6605672714343203
2020-01-02,13233.7099609375,13425.0302734375,13225.16015625,13385.9296875,13385.9296875,75341400,1.0334351343769255
2020-01-03,13266.3896484375,13282.740234375,13120.7197265625,13219.1396484375,13219.1396484375,80793400,-1.2460101237365073
2020-01-06,13085.490234375,13143.1103515625,12948.169921875,13126.990234375,13126.990234375,71778600,-0.6970908585067548
2020-01-07,13199.58984375,13283.8798828125,13166.400390625,13226.830078125,13226.830078125,78282300,0.7605691934511771
2020-01-08,13140.490234375,13334.0400390625,13106.26953125,13320.1796875,13320.1796875,88178800,0.7057594965961256
2020-01-09,13474.759765625,13523.33984375,13456.7802734375,13495.0595703125,13495.0595703125,86965600,1.3128943221134781
2020-01-10,13533.4599609375,13548.2001953125,13483.3095703125,13483.3095703125,13483.3095703125,77941000,-0.0870689005763925
